album_id,genre_id
1,1
1,11
2,1
2,11
3,1
3,16
4,1
4,3
5,1
5,6
6,3
6,24
7,3
7,24
8,3
8,1
9,3
9,1
10,3
10,24
11,3
11,1
12,3
12,1
13,3
13,1
14,8
14,45
15,8
15,45
16,8
16,45
17,8
17,23
18,8
18,23
19,8
19,23
20,8
20,23
21,8
21,23
22,11
22,45
23,11
23,45
24,11
24,45
25,11
25,45
26,2
26,1
27,2
27,16
28,2
28,34
29,2
29,16
30,2
30,1
31,2
31,1
32,2
32,1
33,2
33,1
34,6
34,18
35,6
35,19
36,6
36,31
37,6
37,15
38,2
38,16
39,2
39,16
40,2
40,16
41,2
41,16
42,5
42,49
43,5
43,11
44,5
44,2
45,5
45,2
46,21
46,3
47,21
47,4
48,21
48,1
49,21
49,3
50,8
50,1
51,8
51,29
52,8
52,1
53,8
53,1
54,5
54,1
55,1
55,31
56,1
56,6
57,17
57,16
58,1
58,16
59,2
59,1
60,2
60,1
61,2
61,1
62,2
62,1
63,1
63,6
64,1
64,15
65,1
65,4
66,1
66,4
67,1
67,4
68,1
68,4
69,1
69,4
70,1
70,4
71,1
71,4
72,1
72,4
73,1
73,4
74,1
74,4
74,14
75,1
75,4
75,14
76,1
76,4
76,14
77,1
77,4
77,14
77,16
78,1
78,19
78,20
78,4
81,1
81,14
81,4
82,1
82,14
82,4
83,1
83,14
83,4
84,1
84,14
84,4
85,1
85,14
85,4
86,1
86,20
87,1
87,20
88,1
88,4
89,1
89,6
89,19
90,1
90,19
90,6
90,20
91,1
91,2
91,15
91,4
92,1
92,15
92,4
92,2
93,1
93,15
93,4
93,6
94,1
94,4
94,15
95,1
95,15
95,6
96,2
96,11
96,9
96,12
97,2
97,12
97,45
98,2
98,11
98,34
99,2
99,9
99,12
100,2
100,9
100,12
101,2
101,34
101,42
102,2
102,42
102,34
103,2
103,42
103,34
104,2
104,42
104,34
105,2
105,34
105,42
106,10
106,45
106,14
107,10
107,45
107,1
108,10
108,45
108,4
109,10
109,45
109,14
110,10
110,45
110,1
111,2
111,34
111,16
112,2
112,33
112,16
113,2
113,15
113,16
114,14
114,15
114,4
115,14
115,15
115,4
116,14
116,15
116,4
117,7
117,41
117,50
118,7
118,41
118,50
119,7
119,41
119,50
120,7
120,9
120,14
121,7
121,9
121,11
122,7
122,14
122,9
123,7
123,48
123,9
124,7
124,48
124,42
125,7
125,39
125,8
126,14
126,4
126,46
127,14
127,4
127,46
128,21
128,14
128,4
129,2
129,34
129,9
130,2
130,34
130,42
131,2
131,34
131,15
132,5
132,14
132,4
133,4
133,7
133,14
134,14
134,7
134,4
135,7
135,41
135,50
136,7
136,41
136,50
137,7
137,41
137,15
138,7
138,9
138,41
139,7
139,41
139,50
140,7
140,41
140,9
141,2
141,49
141,9
142,2
142,49
142,4
143,2
143,49
143,9
